Depth,CALI,CGR,DT,ILD,NPHI,PEF,PHIE,RHOB,RT,SGR,SW,Φda,ΦN,ΦND,Vpreal,ΔVp
3154.07,8.85,3.49,58.3,764.96,0.01,5.08,0.01,2.83,803.39,15.36,0.92,0.01081081081081082,0.01,0.010413299918545131,5.228130360205832,0.12405614348362537
3154.22,8.89,3.84,58.57,862.66,0.01,4.99,0.01,2.82,923.57,17.78,0.75,0.01621621621621635,0.01,0.013471556487115326,5.204029366569917,0.12269975198743399
3154.37,,,,,,,,,,,,,,,,
3154.38,8.92,3.93,58.71,1017.51,0.01,4.9,0.01,2.82,1117.78,19.66,0.63,0.01621621621621635,0.01,0.013471556487115326,5.191619826264691,0.12200408916618066
3154.53,8.95,3.77,58.77,1272.45,0.01,4.83,0.01,2.81,1310.53,20.77,0.58,0.02162162162162164,0.01,0.016844799220361407,5.18631955079122,0.12170753031343828
3154.68,8.98,3.42,58.81,1369.27,0.01,4.79,0.01,2.81,1418.42,21.09,0.53,0.02162162162162164,0.01,0.016844799220361407,5.182792042169699,0.1215103489650673
3154.83,9.03,3.06,58.92,1494.24,0.02,4.78,0.02,2.81,1479.36,20.84,0.44,0.02162162162162164,0.02,0.020826599837090263,5.173116089613035,0.2364121493199418
3154.98,9.01,2.81,59.74,1456.41,0.02,4.79,0.02,2.81,1306.09,20.19,0.34,0.02162162162162164,0.02,0.020826599837090263,5.102109139604955,0.2288334925529023
3155.13,,,,,,,,,,,,,,,,
3155.14,8.81,2.76,62.48,1074.22,0.03,4.8,0.03,2.8,1020.58,19.52,0.36,0.02702702702702717,0.03,0.028552234500294867,4.878361075544174,0.3021692838629937
3155.29,8.78,2.88,68.09,937.83,0.05,4.78,0.02,2.8,770.75,19.01,0.68,0.02702702702702717,0.05,0.040189925291792085,4.476428256719048,0.3953147875717571
3155.44,8.77,3.08,78.75,513.02,0.09,4.74,0.01,2.79,516.76,18.83,0.99,0.03243243243243246,0.09,0.06764563058130324,3.8704761904761904,0.4710617195435258
3155.59,8.72,3.38,93.3,522.51,0.13,4.65,0.01,2.71,1005.44,19.08,0.87,0.07567567567567574,0.13,0.10636448629352295,3.266881028938907,0.42282806685028174
3155.74,,,,,,,,,,,,,,,,
3155.75,8.76,3.77,106.88,1750.37,0.18,4.49,0.01,2.6,1843.1,19.74,0.69,0.13513513513513511,0.18,0.15915637710753414,2.851796407185629,0.3866066975733302
3155.9,8.76,4.33,117.86,1986.14,0.23,4.28,0.01,2.49,1961.76,20.68,0.67,0.19459459459459452,0.23,0.21303410084471758,2.5861191243848634,0.35727015522751193
3156.05,8.89,5.04,124.15,1924.16,0.27,4.1,0.01,2.38,1564.92,21.66,0.76,0.2540540540540541,0.27,0.26214829999572786,2.455094643576319,0.34764077005812233
3156.2,9.05,5.77,124.54,1010.77,0.27,3.98,0.01,2.34,759.81,22.46,0.93,0.2756756756756758,0.27,0.27285259588213595,2.4474064557571866,0.3440929088445994
3156.35,,,,,,,,,,,,,,,,
3156.36,9.04,6.32,120.33,372.7,0.26,3.96,0.01,2.37,401.77,22.92,1.0,0.2594594594594594,0.26,0.259729870348979,2.5330341560708054,0.372009456012242
3156.51,9.05,6.51,110.27,446.61,0.21,4.04,0.01,2.48,662.28,22.96,0.95,0.20000000000000004,0.21,0.2050609665440988,2.7641244218735834,0.4034071293870616
3156.66,8.97,6.27,97.01,994.98,0.16,4.2,0.01,2.61,1313.44,22.67,0.67,0.12972972972972985,0.16,0.14565336037275067,3.1419441294711885,0.45620708498029794
3156.81,8.88,5.74,87.11,1804.68,0.1,4.41,0.02,2.72,1675.86,22.26,0.31,0.0702702702702702,0.1,0.08642311867740259,3.499024222247733,0.40143176703985484
3156.96,,,,,,,,,,,,,,,,
3156.97,8.88,5.14,81.34,1477.14,0.06,4.6,0.03,2.8,1194.14,21.98,0.36,0.02702702702702717,0.06,0.04653203299835317,3.747233833292353,0.3015931114260999
3157.12,8.83,4.61,77.72,757.61,0.04,4.74,0.02,2.83,671.91,22.14,0.53,0.01081081081081082,0.04,0.029299092395389522,3.921770458054555,0.23219809982709894
3157.27,8.83,4.22,75.47,539.72,0.03,4.83,0.02,2.83,529.42,22.84,0.58,0.01081081081081082,0.03,0.022548543527101082,4.038690870544587,0.19049269338859265
3157.42,8.84,3.92,73.97,513.53,0.03,4.88,0.02,2.81,540.62,24.13,0.55,0.02162162162162164,0.03,0.026148561351904014,4.1205894281465465,0.20037757207799922
3157.57,,,,,,,,,,,,,,,,
3157.58,8.82,3.62,74.89,582.4,0.03,4.91,0.02,2.79,606.43,25.83,0.5,0.03243243243243246,0.03,0.031239899755635396,4.069969288289491,0.19424179465684865
3157.73,8.75,3.21,77.22,643.5,0.03,4.93,0.02,2.78,622.15,27.72,0.48,0.03783783783783799,0.03,0.03414456012487586,3.9471639471639475,0.17970794407878676
3157.88,8.76,2.71,77.51,589.23,0.03,4.95,0.02,2.76,494.47,29.54,0.53,0.04864864864864881,0.03,0.04041466946134584,3.9323958198942073,0.1779938205026963
3158.03,8.74,2.16,73.96,348.31,0.03,4.96,0.02,2.75,332.33,31.3,0.6,0.0540540540540541,0.03,0.04371407530577881,4.121146565711196,0.2004455731872823
3158.18,,,,,,,,,,,,,,,,
3158.19,8.74,1.64,67.82,307.67,0.03,4.97,0.02,2.73,270.15,33.0,0.65,0.06486486486486492,0.03,0.05053439766108422,4.494249483928045,0.2482607452708807
3158.34,8.76,1.28,62.66,212.27,0.03,4.99,0.02,2.73,203.16,35.04,0.7,0.06486486486486492,0.03,0.05053439766108422,4.864347270986276,0.30012014977369983
3158.49,8.77,1.15,59.65,189.1,0.03,5.0,0.03,2.72,161.77,37.55,0.76,0.0702702702702702,0.03,0.054027358272715965,5.109807208717519,0.33690377075508504
3158.64,8.9,1.23,58.21,119.62,0.03,5.02,0.03,2.72,117.64,40.71,0.81,0.0702702702702702,0.03,0.054027358272715965,5.23621370898471,0.3565796175043783
3158.79,8.89,1.53,58.14,114.6,0.03,5.03,0.03,2.72,108.12,44.26,0.77,0.0702702702702702,0.03,0.054027358272715965,5.242518059855521,0.3575738809204001
3158.94,,,,,,,,,,,,,,,,
3158.95,8.93,2.07,58.99,98.12,0.04,5.01,0.03,2.71,97.02,47.87,0.7,0.07567567567567574,0.04,0.06052606004429026,5.16697745380573,0.45093051614172097
3159.1,8.94,2.89,60.51,95.31,0.05,4.95,0.04,2.7,89.39,51.02,0.59,0.08108108108108103,0.05,0.0673577824355762,5.0371839365394155,0.5205912374751858
3159.25,8.82,4.0,63.1,80.26,0.06,4.87,0.05,2.69,77.04,53.46,0.47,0.08648648648648656,0.06,0.07443088184610344,4.830427892234549,0.5563723070759545
3159.4,8.81,5.47,66.25,72.08,0.07,4.75,0.06,2.68,68.62,55.16,0.37,0.09189189189189186,0.07,0.08168267807641698,4.6007547169811325,0.5696751997055491
3159.55,,,,,,,,,,,,,,,,
3159.56,8.7,7.23,68.39,63.29,0.09,4.62,0.07,2.66,60.66,56.4,0.31,0.10270270270270267,0.09,0.09656046070322917,4.456791928644539,0.6579462891534944
3159.71,8.76,9.07,69.24,56.6,0.1,4.51,0.07,2.64,55.03,57.54,0.31,0.11351351351351349,0.1,0.10697036447115298,4.40207972270364,0.6992758935574228
3159.86,8.82,10.68,69.11,52.61,0.1,4.46,0.07,2.63,51.83,59.04,0.35,0.11891891891891902,0.1,0.1098674412117722,4.410360295181595,0.7022859877082674
3160.01,8.73,11.63,67.97,50.64,0.1,4.47,0.06,2.62,51.11,61.03,0.4,0.1243243243243243,0.1,0.11281962953914487,4.484331322642342,0.7293881765223271
3160.16,,,,,,,,,,,,,,,,
3160.17,8.72,11.68,66.29,51.84,0.08,4.55,0.05,2.62,53.61,63.44,0.51,0.1243243243243243,0.08,0.10453836046805923,4.597978578971187,0.6388583141985245
3160.32,8.7,10.87,64.58,56.34,0.07,4.67,0.05,2.63,58.86,66.03,0.6,0.11891891891891902,0.07,0.09757486683784006,4.719727469804893,0.6041121664132909
3160.47,8.76,9.51,62.89,62.76,0.05,4.81,0.04,2.65,66.32,68.45,0.7,0.1081081081081082,0.05,0.08422399610180703,4.846557481316585,0.4763830614615401
3160.62,8.89,8.11,61.5,71.81,0.03,4.95,0.03,2.67,74.44,70.53,0.91,0.09729729729729739,0.03,0.07199570841848378,4.95609756097561,0.31364839488011054
3160.77,,,,,,,,,,,,,,,,
3160.78,8.87,7.07,60.58,78.51,0.02,5.06,0.02,2.68,80.88,72.13,1.0,0.09189189189189186,0.02,0.0664985706443046,5.031363486299109,0.22139511089433306
3160.93,8.64,6.53,59.93,84.53,0.02,5.12,0.02,2.69,85.11,73.12,1.0,0.08648648648648656,0.02,0.06276907018897612,5.085933589187386,0.2271228500679019
3161.08,8.72,6.39,59.43,86.0,0.02,5.15,0.02,2.69,87.51,73.41,1.0,0.08648648648648656,0.02,0.06276907018897612,5.128722867238769,0.23166078315968264
3161.23,8.63,6.44,59.01,89.85,0.02,5.14,0.02,2.69,89.6,72.82,0.99,0.08648648648648656,0.02,0.06276907018897612,5.165226232841891,0.23556448397645724
3161.38,,,,,,,,,,,,,,,,
3161.39,8.63,6.5,58.6,89.21,0.03,5.11,0.03,2.7,86.02,71.26,0.93,0.08108108108108103,0.03,0.06113158639065747,5.201365187713311,0.35110580704433136
3161.54,8.65,6.53,58.16,81.1,0.03,5.05,0.03,2.7,79.25,68.69,0.82,0.08108108108108103,0.03,0.06113158639065747,5.2407152682255855,0.3572894360564982
3161.69,8.66,6.61,57.81,76.4,0.04,4.96,0.04,2.7,69.06,65.4,0.76,0.08108108108108103,0.04,0.06393020299231357,5.2724442138038405,0.472262789624029
3161.84,8.7,6.8,57.65,57.74,0.05,4.84,0.04,2.7,56.61,61.76,0.74,0.08108108108108103,0.05,0.0673577824355762,5.287077189939289,0.5810131917920698
3161.99,,,,,,,,,,,,,,,,
3162.0,8.82,6.97,57.73,54.88,0.05,4.71,0.04,2.69,51.94,58.29,0.68,0.08648648648648656,0.05,0.07063962183073046,5.279750562965529,0.5792023198879646
3162.15,8.65,6.98,58.15,47.42,0.06,4.58,0.05,2.69,48.63,55.37,0.65,0.08648648648648656,0.06,0.07443088184610344,5.2416165090283755,0.669227855992867
3162.3,8.7,6.72,58.98,50.49,0.06,4.48,0.05,2.68,51.38,53.34,0.61,0.09189189189189186,0.06,0.07760193230671238,5.167853509664293,0.6483609739442873
3162.45,8.72,6.22,60.24,52.74,0.06,4.41,0.05,2.67,54.35,52.23,0.59,0.09729729729729739,0.06,0.08082933892269153,5.059760956175299,0.6182697342406271
3162.6,8.8,5.7,61.94,56.83,0.06,4.39,0.05,2.67,57.54,52.05,0.58,0.09729729729729739,0.06,0.08082933892269153,4.9208911850177595,0.5804700160660108
3162.75,,,,,,,,,,,,,,,,
3162.76,8.81,5.36,63.87,58.63,0.05,4.41,0.05,2.67,58.42,52.51,0.56,0.09729729729729739,0.05,0.07735232401601995,4.772193518083608,0.4595860743080955
3162.91,8.85,5.25,65.66,58.11,0.06,4.45,0.05,2.66,57.35,53.33,0.5,0.10270270270270267,0.06,0.08410661431314344,4.642095644227841,0.5075548658272897
3163.06,8.9,5.27,67.39,56.18,0.07,4.5,0.06,2.66,54.6,54.08,0.42,0.10270270270270267,0.07,0.08788584966432234,4.522926250185487,0.547586918193788
3163.21,8.87,5.36,69.21,52.17,0.08,4.53,0.07,2.64,49.86,54.55,0.33,0.11351351351351349,0.08,0.09819704107095746,4.403987863025575,0.5783601739155606
3163.36,,,,,,,,,,,,,,,,
3163.37,8.83,5.44,71.21,46.3,0.1,4.53,0.09,2.62,44.11,54.66,0.27,0.1243243243243243,0.1,0.11281962953914487,4.280297710995647,0.6555667711580941
3163.52,8.84,5.53,73.35,40.72,0.12,4.5,0.1,2.6,39.82,54.44,0.22,0.13513513513513511,0.12,0.12779183218811607,4.155419222903886,0.7132183826816334
3163.67,8.9,5.72,75.28,38.43,0.14,4.46,0.12,2.57,37.69,54.04,0.18,0.15135135135135147,0.14,0.14578619885963184,4.048884165781084,0.7623047961832374
3163.82,8.92,6.06,76.99,36.54,0.16,4.4,0.13,2.55,36.76,53.49,0.16,0.1621621621621623,0.16,0.16108470882909312,3.9589557085335763,0.8060131690493844
3163.97,,,,,,,,,,,,,,,,
3163.98,8.91,6.51,78.5,37.09,0.18,4.31,0.14,2.53,39.78,52.76,0.14,0.17297297297297312,0.18,0.17652145673983785,3.8828025477707007,0.8460385744719061
