Depth,CALI,CGR,DT,ILD,NPHI,PEF,PHIE,RHOB,RT,SGR,SW,Φda,ΦN,ΦND,Vpreal,ΔVp
3154.07,8.85,3.49,58.3,764.96,0.01,5.08,0.01,2.83,803.39,15.36,0.92,0.01081081081081082,0.01,0.010413299918545131,5.228130360205832,0.12405614348362537
3154.22,8.89,3.84,58.57,862.66,0.01,4.99,0.01,2.82,923.57,17.78,0.75,0.01621621621621635,0.01,0.013471556487115326,5.204029366569917,0.12269975198743399
3154.37,8.905000000000001,3.885,58.64,940.085,0.01,4.945,0.01,2.82,1020.675,18.72,0.69,0.01621621621621635,0.01,0.013471556487115326,5.197824596417304,0.12235192057680733
3154.52,8.934999999999999,3.85,58.74,1144.98,0.01,4.865,0.01,2.815,1214.155,20.215,0.605,0.018918918918918996,0.01,0.015158177853738367,5.188969688527955,0.12185580973980947
3154.67,8.965,3.5949999999999998,58.790000000000006,1320.8600000000001,0.01,4.8100000000000005,0.01,2.81,1364.475,20.93,0.5549999999999999,0.02162162162162164,0.01,0.016844799220361407,5.18455579648046,0.12160893963925279
3154.82,9.004999999999999,3.24,58.865,1431.755,0.015,4.785,0.015,2.81,1448.8899999999999,20.965,0.485,0.02162162162162164,0.015,0.018835699528725835,5.177954065891367,0.17896124914250455
3154.97,9.02,2.935,59.33,1475.325,0.02,4.785,0.02,2.81,1392.725,20.515,0.39,0.02162162162162164,0.02,0.020826599837090263,5.137612614608995,0.23262282093642206
3155.12,8.91,2.785,61.11,1265.315,0.025,4.795,0.025,2.8049999999999997,1163.335,19.855,0.35,0.024324324324324405,0.025,0.024689417168692565,4.990235107574565,0.265501388207948
3155.27,8.795,2.82,65.285,1006.0250000000001,0.04,4.79,0.025,2.8,895.665,19.265,0.52,0.02702702702702717,0.04,0.034371079896043474,4.677394666131612,0.3487420357173754
3155.42,8.774999999999999,2.98,73.42,725.425,0.07,4.76,0.015,2.795,643.755,18.92,0.835,0.029729729729729815,0.07,0.05391777793654766,4.17345222359762,0.43318825355764146
3155.57,8.745000000000001,3.23,86.025,517.765,0.11,4.695,0.01,2.75,761.1,18.955,0.9299999999999999,0.0540540540540541,0.11,0.0870050584374131,3.5686786097075487,0.4469448931969038
3155.72,8.74,3.575,100.09,1136.44,0.155,4.57,0.01,2.6550000000000002,1424.27,19.409999999999997,0.78,0.10540540540540543,0.155,0.13276043170052854,3.0593387180622678,0.404717382211806
3155.87,8.76,4.05,112.37,1868.255,0.20500000000000002,4.385,0.01,2.545,1902.4299999999998,20.21,0.6799999999999999,0.16486486486486482,0.20500000000000002,0.18609523897612584,2.7189577657852464,0.3719384264004211
3156.02,8.825,4.6850000000000005,121.005,1955.15,0.25,4.1899999999999995,0.01,2.435,1763.3400000000001,21.17,0.7150000000000001,0.2243243243243243,0.25,0.23759120042022272,2.520606883980591,0.35245546264281713
3156.17,8.97,5.404999999999999,124.345,1467.4650000000001,0.27,4.04,0.01,2.36,1162.365,22.060000000000002,0.845,0.26486486486486494,0.27,0.2675004479389319,2.451250549666753,0.3458668394513609
3156.32,9.045,6.045,122.435,691.735,0.265,3.9699999999999998,0.01,2.355,580.79,22.69,0.9650000000000001,0.2675675675675676,0.265,0.26629123311555747,2.4902203059139962,0.3580511824284207
3156.47,9.045,6.415,115.3,409.655,0.235,4.0,0.01,2.425,532.025,22.94,0.975,0.22972972972972971,0.235,0.23239541844653888,2.6485792889721944,0.3877082926996518
3156.62,9.010000000000002,6.39,103.64,720.7950000000001,0.185,4.12,0.01,2.545,987.86,22.815,0.81,0.16486486486486496,0.185,0.17535716345842473,2.953034275672386,0.42980710718367976
3156.77,8.925,6.005,92.06,1399.83,0.13,4.305,0.015,2.665,1494.65,22.465000000000003,0.49,0.10000000000000003,0.13,0.11603823952507664,3.3204841758594608,0.4288194260100764
3156.92,8.88,5.4399999999999995,84.225,1640.91,0.08,4.505,0.025,2.76,1435.0,22.12,0.33499999999999996,0.048648648648648686,0.08,0.06647757583787788,3.6231290277700428,0.35151243923297737
3157.07,8.855,4.875,79.53,1117.375,0.05,4.67,0.025,2.815,933.0250000000001,22.060000000000002,0.445,0.018918918918918996,0.05,0.037915562696871345,3.8345021456734543,0.2668956056265994
3157.22,8.83,4.415,76.595,648.665,0.035,4.785,0.02,2.83,600.665,22.490000000000002,0.5549999999999999,0.01081081081081082,0.035,0.0259238179612453,3.9802306642995715,0.2113453966078458
3157.37,8.835,4.07,74.72,526.625,0.03,4.855,0.02,2.8200000000000003,535.02,23.485,0.565,0.01621621621621623,0.03,0.024348552439502548,4.0796401493455665,0.19543513273329594
3157.52,8.83,3.77,74.43,547.9649999999999,0.03,4.895,0.02,2.8,573.525,24.979999999999997,0.525,0.02702702702702705,0.03,0.028694230553769705,4.0952793582180185,0.19730968336742394
3157.67,8.785,3.415,76.055,612.95,0.03,4.92,0.02,2.785,614.29,26.775,0.49,0.03513513513513523,0.03,0.03269222994025563,4.00856661772672,0.1869748693678177
3157.82,8.754999999999999,2.96,77.36500000000001,616.365,0.03,4.9399999999999995,0.02,2.7699999999999996,558.31,28.63,0.505,0.0432432432432434,0.03,0.037279614793110843,3.939779883529077,0.17885088229074153
3157.97,8.75,2.435,75.735,468.77,0.03,4.955,0.02,2.755,413.4,30.42,0.565,0.05135135135135145,0.03,0.04206437238356232,4.026771192802702,0.1892196968449893
3158.12,8.74,1.9,70.88999999999999,327.99,0.03,4.965,0.02,2.74,301.24,32.15,0.625,0.05945945945945951,0.03,0.04712423648343152,4.30769802481962,0.2243531592290815
3158.27,8.75,1.46,65.24,259.97,0.03,4.98,0.02,2.73,236.65499999999997,34.019999999999996,0.675,0.06486486486486492,0.03,0.05053439766108422,4.67929837745716,0.27419044752229027
3158.42,8.765,1.2149999999999999,61.155,200.685,0.03,4.995,0.025,2.725,182.465,36.295,0.73,0.06756756756756757,0.03,0.05228087796690009,4.987077239851898,0.31851196026439244
3158.57,8.835,1.19,58.93,154.36,0.03,5.01,0.03,2.72,139.705,39.129999999999995,0.785,0.0702702702702702,0.03,0.054027358272715965,5.173010458851115,0.34674169412973166
3158.72,8.895,1.38,58.175,117.11,0.03,5.025,0.03,2.72,112.88,42.485,0.79,0.0702702702702702,0.03,0.054027358272715965,5.239365884420115,0.3570767492123892
3158.87,8.91,1.7999999999999998,58.565,106.36,0.035,5.02,0.03,2.715,102.57,46.065,0.735,0.07297297297297298,0.035,0.05727670915850311,5.204747756830626,0.40425219853106054
3159.02,8.934999999999999,2.48,59.75,96.715,0.045,4.98,0.035,2.705,93.205,49.445,0.645,0.07837837837837838,0.045,0.06394192123993322,5.102080695172573,0.48576087680845337
3159.17,8.879999999999999,3.4450000000000003,61.805,87.785,0.055,4.91,0.045,2.6950000000000003,83.215,52.24,0.53,0.08378378378378379,0.055,0.07089433214083982,4.933805914386982,0.5384817722755701
3159.32,8.815000000000001,4.734999999999999,64.675,76.17,0.065,4.8100000000000005,0.055,2.685,72.83000000000001,54.31,0.42,0.08918918918918921,0.065,0.0780567799612602,4.715591304607841,0.5630237533907518
3159.47,8.754999999999999,6.35,67.32,67.685,0.08,4.6850000000000005,0.065,2.67,64.64,55.78,0.33999999999999997,0.09729729729729726,0.08,0.08912156938982307,4.528773322812835,0.6138107444295218
3159.62,8.73,8.15,68.815,59.945,0.095,4.5649999999999995,0.07,2.6500000000000004,57.845,56.97,0.31,0.10810810810810809,0.095,0.10176541258719107,4.429435825674089,0.6786110913554586
3159.77,8.79,9.875,69.175,54.605000000000004,0.1,4.484999999999999,0.07,2.635,53.43,58.29,0.32999999999999996,0.11621621621621625,0.1,0.10841890284146258,4.406220008942617,0.7007809406328451
3159.92,8.775,11.155000000000001,68.53999999999999,51.625,0.1,4.465,0.065,2.625,51.47,60.035,0.375,0.12162162162162166,0.1,0.11134353537545853,4.447345808911969,0.7158370821152973
3160.07,8.725000000000001,11.655000000000001,67.13,51.24,0.09,4.51,0.055,2.62,52.36,62.235,0.455,0.1243243243243243,0.09,0.10867899500360205,4.541154950806765,0.6841232453604258
3160.22,8.71,11.274999999999999,65.435,54.09,0.07500000000000001,4.609999999999999,0.05,2.625,56.235,64.735,0.5549999999999999,0.12162162162162166,0.07500000000000001,0.10105661365294964,4.658853024388041,0.6214852403059077
3160.37,8.73,10.19,63.735,59.55,0.060000000000000005,4.74,0.045,2.6399999999999997,62.589999999999996,67.24000000000001,0.6499999999999999,0.1135135135135136,0.060000000000000005,0.09089943146982354,4.783142475560739,0.5402476139374155
3160.52,8.825,8.809999999999999,62.195,67.285,0.04,4.88,0.035,2.66,70.38,69.49000000000001,0.8049999999999999,0.10270270270270279,0.04,0.07810985226014541,4.901327521146097,0.3950157281708253
3160.67,8.879999999999999,7.59,61.04,75.16,0.025,5.005,0.025,2.675,77.66,71.33,0.9550000000000001,0.09459459459459463,0.025,0.06924713953139419,4.9937305236373595,0.2675217528872218
3160.82,8.754999999999999,6.800000000000001,60.254999999999995,81.52000000000001,0.02,5.09,0.02,2.685,82.995,72.625,1.0,0.08918918918918921,0.02,0.06463382041664037,5.058648537743247,0.22425898048111748
3160.97,8.68,6.46,59.68,85.265,0.02,5.135,0.02,2.69,86.31,73.265,1.0,0.08648648648648656,0.02,0.06276907018897612,5.107328228213078,0.22939181661379227
3161.12,8.675,6.415,59.22,87.925,0.02,5.145,0.02,2.69,88.555,73.115,0.995,0.08648648648648656,0.02,0.06276907018897612,5.14697455004033,0.23361263356806994
3161.27,8.63,6.470000000000001,58.805,89.53,0.025,5.125,0.025,2.6950000000000003,87.81,72.03999999999999,0.96,0.08378378378378379,0.025,0.061950328289816795,5.183295710277601,0.2933351455103943
3161.42,8.64,6.515000000000001,58.379999999999995,85.155,0.03,5.08,0.03,2.7,82.63499999999999,69.975,0.875,0.08108108108108103,0.03,0.06113158639065747,5.221040227969448,0.3541976215504148
3161.57,8.655000000000001,6.57,57.985,78.75,0.035,5.005,0.035,2.7,74.155,67.045,0.79,0.08108108108108103,0.035,0.06253089469148553,5.256579741014713,0.4147761128402636
3161.72,8.68,6.705,57.730000000000004,67.07000000000001,0.045,4.9,0.04,2.7,62.835,63.58,0.75,0.08108108108108103,0.045,0.06564399271394489,5.279760701871565,0.5266379907080494
3161.87,8.76,6.885,57.69,56.31,0.05,4.775,0.04,2.6950000000000003,54.275,60.025,0.71,0.08378378378378379,0.05,0.06899870213315333,5.283413876452409,0.5801077558400172
3162.02,8.735,6.975,57.94,51.150000000000006,0.055,4.645,0.045,2.69,50.285,56.83,0.665,0.08648648648648656,0.055,0.07253525183841694,5.260683535996952,0.6242150879404158
3162.17,8.675,6.85,58.565,48.955,0.06,4.53,0.05,2.685,50.005,54.355000000000004,0.63,0.08918918918918921,0.06,0.07601640707640792,5.204735009346335,0.6587944149685772
3162.32,8.71,6.47,59.61,51.615,0.06,4.445,0.05,2.675,52.865,52.785,0.6,0.09459459459459463,0.06,0.07921563561470196,5.113807232919796,0.6333153540924572
3162.47,8.760000000000002,5.96,61.09,54.785,0.06,4.4,0.05,2.67,55.945,52.14,0.585,0.09729729729729739,0.06,0.08082933892269153,4.990326070596529,0.599369875153319
3162.62,8.805,5.53,62.905,57.730000000000004,0.055,4.4,0.05,2.67,57.980000000000004,52.28,0.5700000000000001,0.09729729729729739,0.055,0.07909083146935575,4.846542351550683,0.5200280451870531
3162.77,8.83,5.305,64.765,58.370000000000005,0.055,4.43,0.05,2.665,57.885000000000005,52.92,0.53,0.10000000000000003,0.055,0.0807294691645817,4.707144581155724,0.4835704700676926
3162.92,8.875,5.26,66.525,57.144999999999996,0.065,4.475,0.055,2.66,55.975,53.705,0.45999999999999996,0.10270270270270267,0.065,0.08599623198873288,4.582510947206664,0.5275708920105389
3163.07,8.885,5.3149999999999995,68.3,54.175,0.07500000000000001,4.515000000000001,0.065,2.6500000000000004,52.230000000000004,54.315,0.375,0.10810810810810809,0.07500000000000001,0.09304144536763989,4.463457056605531,0.5629735460546743
3163.22,8.85,5.4,70.21,49.235,0.09,4.53,0.08,2.63,46.985,54.605,0.30000000000000004,0.1189189189189189,0.09,0.10550833530505116,4.342142787010611,0.6169634725368274
3163.37,8.83,5.44,71.21,46.3,0.1,4.53,0.09,2.62,44.11,54.66,0.27,0.1243243243243243,0.1,0.11281962953914487,4.280297710995647,0.6555667711580941
3163.52,8.84,5.53,73.35,40.72,0.12,4.5,0.1,2.6,39.82,54.44,0.22,0.13513513513513511,0.12,0.12779183218811607,4.155419222903886,0.7132183826816334
